model,seq_len,kv_cache_GB,weight_GB,kv_weight_ratio_pct,per_token_MB
LLaMA-2-7B,512,0.25,14.0,1.79,0.5
LLaMA-2-7B,1024,0.5,14.0,3.57,0.5
LLaMA-2-7B,2048,1.0,14.0,7.14,0.5
LLaMA-2-7B,4096,2.0,14.0,14.29,0.5
LLaMA-2-7B,8192,4.0,14.0,28.57,0.5
LLaMA-2-7B,16384,8.0,14.0,57.14,0.5
LLaMA-2-7B,32768,16.0,14.0,114.29,0.5
LLaMA-2-7B,65536,32.0,14.0,228.57,0.5
LLaMA-2-7B,131072,64.0,14.0,457.14,0.5
LLaMA-2-13B,512,0.3906,26.0,1.5,0.7812
LLaMA-2-13B,1024,0.7812,26.0,3.0,0.7812
LLaMA-2-13B,2048,1.5625,26.0,6.01,0.7812
LLaMA-2-13B,4096,3.125,26.0,12.02,0.7812
LLaMA-2-13B,8192,6.25,26.0,24.04,0.7812
LLaMA-2-13B,16384,12.5,26.0,48.08,0.7812
LLaMA-2-13B,32768,25.0,26.0,96.15,0.7812
LLaMA-2-13B,65536,50.0,26.0,192.31,0.7812
LLaMA-2-13B,131072,100.0,26.0,384.62,0.7812
LLaMA-2-70B,512,0.1562,140.0,0.11,0.3125
LLaMA-2-70B,1024,0.3125,140.0,0.22,0.3125
LLaMA-2-70B,2048,0.625,140.0,0.45,0.3125
LLaMA-2-70B,4096,1.25,140.0,0.89,0.3125
LLaMA-2-70B,8192,2.5,140.0,1.79,0.3125
LLaMA-2-70B,16384,5.0,140.0,3.57,0.3125
LLaMA-2-70B,32768,10.0,140.0,7.14,0.3125
LLaMA-2-70B,65536,20.0,140.0,14.29,0.3125
LLaMA-2-70B,131072,40.0,140.0,28.57,0.3125
LLaMA-3-8B,512,0.0625,16.0,0.39,0.125
LLaMA-3-8B,1024,0.125,16.0,0.78,0.125
LLaMA-3-8B,2048,0.25,16.0,1.56,0.125
LLaMA-3-8B,4096,0.5,16.0,3.12,0.125
LLaMA-3-8B,8192,1.0,16.0,6.25,0.125
LLaMA-3-8B,16384,2.0,16.0,12.5,0.125
LLaMA-3-8B,32768,4.0,16.0,25.0,0.125
LLaMA-3-8B,65536,8.0,16.0,50.0,0.125
LLaMA-3-8B,131072,16.0,16.0,100.0,0.125
LLaMA-3-70B,512,0.1562,140.0,0.11,0.3125
LLaMA-3-70B,1024,0.3125,140.0,0.22,0.3125
LLaMA-3-70B,2048,0.625,140.0,0.45,0.3125
LLaMA-3-70B,4096,1.25,140.0,0.89,0.3125
LLaMA-3-70B,8192,2.5,140.0,1.79,0.3125
LLaMA-3-70B,16384,5.0,140.0,3.57,0.3125
LLaMA-3-70B,32768,10.0,140.0,7.14,0.3125
LLaMA-3-70B,65536,20.0,140.0,14.29,0.3125
LLaMA-3-70B,131072,40.0,140.0,28.57,0.3125
Mistral-7B,512,0.0625,14.6,0.43,0.125
Mistral-7B,1024,0.125,14.6,0.86,0.125
Mistral-7B,2048,0.25,14.6,1.71,0.125
Mistral-7B,4096,0.5,14.6,3.42,0.125
Mistral-7B,8192,1.0,14.6,6.85,0.125
Mistral-7B,16384,2.0,14.6,13.7,0.125
Mistral-7B,32768,4.0,14.6,27.4,0.125
Mistral-7B,65536,8.0,14.6,54.79,0.125
Mistral-7B,131072,16.0,14.6,109.59,0.125
Qwen2-7B,512,0.0273,15.2,0.18,0.0547
Qwen2-7B,1024,0.0547,15.2,0.36,0.0547
Qwen2-7B,2048,0.1094,15.2,0.72,0.0547
Qwen2-7B,4096,0.2188,15.2,1.44,0.0547
Qwen2-7B,8192,0.4375,15.2,2.88,0.0547
Qwen2-7B,16384,0.875,15.2,5.76,0.0547
Qwen2-7B,32768,1.75,15.2,11.51,0.0547
Qwen2-7B,65536,3.5,15.2,23.03,0.0547
Qwen2-7B,131072,7.0,15.2,46.05,0.0547
Qwen2-72B,512,0.1562,144.0,0.11,0.3125
Qwen2-72B,1024,0.3125,144.0,0.22,0.3125
Qwen2-72B,2048,0.625,144.0,0.43,0.3125
Qwen2-72B,4096,1.25,144.0,0.87,0.3125
Qwen2-72B,8192,2.5,144.0,1.74,0.3125
Qwen2-72B,16384,5.0,144.0,3.47,0.3125
Qwen2-72B,32768,10.0,144.0,6.94,0.3125
Qwen2-72B,65536,20.0,144.0,13.89,0.3125
Qwen2-72B,131072,40.0,144.0,27.78,0.3125
